location,source,target
0x1691020@mhfdat-jp.bin,"‾C00◇◇◇◇◇　前書き　◇◇◇◇◇
狩猟笛の≪旋律≫には
いくつもの種類があり、
その組み合わせで、いろいろな
効果が発動します。
次のページからその旋律の
組み合わせと、その効果の一覧を
載せています。
覚えて一流の狩猟笛使いを
目指しましょう。
◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇◇◇ Introduction ◇◇◇◇
There are many different types
of <melodies> playable with a
Hunting Horn. Each sequence
triggers unique effects.
The following pages are a
guide to these melodies and
the effects they can cause.
Remember them, and you will be
well on your way to becoming a
top-class Hunting Horn player!
◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691024@mhfdat-jp.bin,"‾C00◇◇◇◇　　旋律表　　◇◇◇◇
≪自分強化≫
　移動速度がＵＰ
　　　　　　　‾C00♪→♪‾C00　
　　　　　　　‾C07♪‾C00→‾C07♪‾C00

≪自分強化≫
　攻撃がはじかれにくくなる
　　　　‾C00♪→♪　後　♪→♪‾C00
　　　　‾C07♪‾C00→‾C07♪‾C00　後　‾C07♪‾C00→‾C07♪‾C00
◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇◇◇ Melodies ◇◇◇◇
<Self Buff>
 Increase movement speed: 
  ‾C00♪→♪‾C00　
  ‾C07♪‾C00→‾C07♪‾C00
<Self Buff>
 Make your attacks harder
 to repel:
  ‾C00♪→♪ then ♪→♪‾C00
  ‾C07♪‾C00→‾C07♪‾C00 then ‾C07♪‾C00→‾C07♪‾C00
◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691028@mhfdat-jp.bin,"‾C00◇◇◇◇　　旋律表　　◇◇◇◇


≪千里眼≫
　モンスターの生態を
　感知することができる
　　　　‾C20♪‾C00→‾C20♪‾C00→‾C04♪‾C00



◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇◇◇ Melodies ◇◇◇◇


<PsychicVis>
 Discern a monster's habits:
  ‾C20♪‾C00→‾C20♪‾C00→‾C04♪‾C00



◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x169102c@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇
※ここからの旋律は、まわりの
ハンターにも効果があります。

 攻撃力UP【小】‾C00♪‾C00→‾C02♪‾C00
 攻撃力UP【大】‾C07♪‾C00→‾C02♪‾C00→‾C02♪‾C00
 防御力UP【小】‾C02♪‾C00→‾C05♪‾C00
 防御力UP【大】‾C02♪‾C00→‾C03♪‾C00→‾C02♪‾C00
 　　　　　　　‾C02♪‾C00→‾C04♪‾C00→‾C04♪‾C00→‾C07♪‾C00

◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇
*The songs from here on also
affect nearby Hunters.

 Attack Up [Lo]: ‾C00♪‾C00→‾C02♪‾C00
 Attack Up [Hi]: ‾C07♪‾C00→‾C02♪‾C00→‾C02♪‾C00
 Defense Up [Lo]: ‾C02♪‾C00→‾C05♪‾C00
 Defense Up [Hi]: ‾C02♪‾C00→‾C03♪‾C00→‾C02♪‾C00
        ‾C02♪‾C00→‾C04♪‾C00→‾C04♪‾C00→‾C07♪‾C00

◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691030@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 体力ＵＰ【小】‾C02♪‾C00→‾C20♪‾C00→‾C00♪‾C00
 体力ＵＰ【中】‾C02♪‾C00→‾C02♪‾C00→‾C04♪‾C00
 体力ＵＰ【大】‾C02♪‾C00→‾C20♪‾C00→‾C02♪‾C00→‾C07♪‾C00





◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Health Inc [Lo]: ‾C02♪‾C00→‾C20♪‾C00→‾C00♪‾C00
 Health Inc [Mid]: ‾C02♪‾C00→‾C02♪‾C00→‾C04♪‾C00
 Health Inc [Hi]: ‾C02♪‾C00→‾C20♪‾C00→‾C02♪‾C00→‾C07♪‾C00





◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691034@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 風圧軽減　　　‾C20♪‾C00→‾C20♪‾C00→‾C02♪‾C00
 風圧無効　　　‾C20♪‾C00→‾C20♪‾C00→‾C03♪‾C00
 　　　　　　　‾C20♪‾C00→‾C04♪‾C00→‾C20♪‾C00
 風圧完全無効　‾C20♪‾C00→‾C20♪‾C00→‾C05♪‾C00→‾C07♪‾C00




◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Reduce Wind:   ‾C20♪‾C00→‾C20♪‾C00→‾C02♪‾C00
 Negate Wind:   ‾C20♪‾C00→‾C20♪‾C00→‾C03♪‾C00
           ‾C20♪‾C00→‾C04♪‾C00→‾C20♪‾C00
 Fully Negate Wind:   ‾C20♪‾C00→‾C20♪‾C00→‾C05♪‾C00→‾C07♪‾C00




◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691038@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 怯み無効　　　‾C20♪‾C00→‾C07♪‾C00→‾C05♪‾C00→‾C20♪‾C00
 　　　　　　　‾C20♪‾C00→‾C03♪‾C00→‾C20♪‾C00→‾C07♪‾C00






◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Negate Flinch: ‾C20♪‾C00→‾C07♪‾C00→‾C05♪‾C00→‾C20♪‾C00
         ‾C20♪‾C00→‾C03♪‾C00→‾C20♪‾C00→‾C07♪‾C00






◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x169103c@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 強走効果【小】‾C00♪‾C00→‾C20♪‾C00
 強走効果【大】‾C07♪‾C00→‾C20♪‾C00→‾C20♪‾C00

 体力回復【小】‾C07♪‾C00→‾C03♪‾C00
 体力回復【中】‾C03♪‾C00→‾C07♪‾C00→‾C05♪‾C00
 体力回復【大】‾C03♪‾C00→‾C03♪‾C00→‾C07♪‾C00→‾C04♪‾C00


◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Dash [Lo]: ‾C00♪‾C00→‾C20♪‾C00
 Dash [Hi]: ‾C07♪‾C00→‾C20♪‾C00→‾C20♪‾C00

 Health Rec: [Lo]  ‾C07♪‾C00→‾C03♪‾C00
 Health Rec: [Mid] ‾C03♪‾C00→‾C07♪‾C00→‾C05♪‾C00
 Health Rec: [Hi]  ‾C03♪‾C00→‾C03♪‾C00→‾C07♪‾C00→‾C04♪‾C00


◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691040@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 体力回復【小】＆解毒
 　　　　　　　‾C00♪‾C00→‾C03♪‾C00
 体力回復【中】＆解毒
 　　　　　　　‾C03♪‾C00→‾C20♪‾C00→‾C07♪‾C00→‾C20♪‾C00
 体力回復【中】＆消臭
 　　　　　　　‾C03♪‾C00→‾C00♪‾C00→‾C04♪‾C00


◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Health Rec [Lo] & Antidote:        ‾C00♪‾C00→‾C03♪‾C00
 Health Rec [Mid] & Antidote:        ‾C03♪‾C00→‾C20♪‾C00→‾C07♪‾C00→‾C20♪‾C00
 Health Rec [Mid] & Deodorant:        ‾C03♪‾C00→‾C00♪‾C00→‾C04♪‾C00


◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
0x1691044@mhfdat-jp.bin,"‾C00◇◇　旋律表（グループ）　◇◇

 回復速度【小】‾C03♪‾C00→‾C03♪‾C00→‾C05♪‾C00
 回復速度【大】‾C03♪‾C00→‾C02♪‾C00→‾C03♪‾C00→‾C07♪‾C00

 女神の赦し　　‾C03♪‾C00→‾C05♪‾C00→‾C07♪‾C00→‾C05♪‾C00

 聴覚保護【小】‾C04♪‾C00→‾C04♪‾C00→‾C02♪‾C00
 聴覚保護【大】‾C04♪‾C00→‾C04♪‾C00→‾C03♪‾C00→‾C07♪‾C00

◇◇◇　◇◇◇　◇◇◇　◇◇◇","‾C00◇◇ Melodies (Group Buff) ◇◇

 Rec Rate Up [Lo]: ‾C03♪‾C00→‾C03♪‾C00→‾C05♪‾C00
 Rec Rate Up [Hi]: ‾C03♪‾C00→‾C02♪‾C00→‾C03♪‾C00→‾C07♪‾C00

 Divine Grace: ‾C03♪‾C00→‾C05♪‾C00→‾C07♪‾C00→‾C05♪‾C00

 Ear Protection [Lo]: ‾C04♪‾C00→‾C04♪‾C00→‾C02♪‾C00
 Ear Protection [Hi]: ‾C04♪‾C00→‾C04♪‾C00→‾C03♪‾C00→‾C07♪‾C00

◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
